timestamp,arp_total,arp_request_count,arp_reply_count,req_reply_ratio,gratuitous_arp_count,broadcast_count,packet_rate,request_rate,reply_rate,src_ip_entropy,src_mac_entropy,target_ip_entropy,unique_src_ip_count,unique_src_mac_count,top1_ip_share,digest_sample_count,ip_mac_consistency_score,new_ip_ratio,digests_processed,packets_dropped,cpu_load,ctx_voluntary,ctx_involuntary,mem_rss_bytes,digest_latency_mean_us,digest_latency_max_us,iat_mean_ms,iat_min_ms,iat_std_ms,window_buf_depth,flush_duration_ms,label
2026-05-01T22:56:58,58870,50099,8771,5.7112,0,50099,19614.1333,16691.8374,2922.296,10.8867,10.9186,2.072,4509,4597,0.1497,5887,0.4453,0.9601,5887,0,1.42,4,0,52797440,25.8,688.24,0.52,-53.0362,1.2837,5887,23.82,1
2026-05-01T22:57:01,64100,51429,12661,4.0617,16,184600804,21338.1382,17120.1109,4214.6984,10.461,10.4866,2.7195,4609,4681,0.1953,6410,0.4285,0.9638,6410,0,1.54,3,0,53858304,25.26,564.71,0.4715,0.0069,0.437,6410,32.79,1
2026-05-01T22:57:04,56520,48685,7825,6.2209,10,184598060,18833.9036,16223.082,2607.4893,10.994,11.0241,1.8803,4420,4502,0.1361,5652,0.4247,0.9686,5652,0,1.34,6,0,54591488,24.43,643.13,0.5352,-12.9251,0.728,5652,71.41,1
2026-05-01T22:57:07,61514,50941,10575,4.8167,4,184600310,20486.858,16965.5856,3521.9385,10.5152,10.5412,2.5385,4366,4442,0.1827,6152,0.4077,0.9666,6152,0,1.54,5,0,55603200,24.2,547.57,0.499,-58.667,1.4045,6152,27.57,1
2026-05-01T22:57:10,61300,51449,9851,5.2222,0,51449,20425.4881,17143.0821,3282.4059,10.7102,10.7363,2.2604,4385,4458,0.1626,6130,0.3891,0.9669,6130,0,1.46,3,0,56479744,25.18,2443.62,0.4933,-0.3742,0.5427,6130,28.53,1
2026-05-01T22:57:13,59540,51009,8531,5.9786,3,51009,19837.5069,16995.1527,2842.3542,10.9246,10.9587,2.0394,4566,4658,0.1473,5954,0.3673,0.9619,5954,0,1.4,3,0,57278464,24.69,782.31,0.508,-24.4258,0.7801,5954,22.67,1
2026-05-01T22:57:16,64380,52226,12154,4.2967,0,52226,21451.8014,17402.0159,4049.7856,10.5519,10.5798,2.6081,4646,4728,0.187,6438,0.3668,0.9638,6438,0,1.48,3,1,58261504,24.53,600.13,0.4691,-8.6066,0.4879,6438,28.77,1
2026-05-01T22:57:19,57980,49849,8131,6.13,0,49849,19317.084,16608.0946,2708.9895,10.9476,10.9759,1.9795,4498,4575,0.1432,5798,0.3555,0.9629,5798,0,1.43,5,0,58966016,25.86,1959.16,0.522,-15.3441,0.7369,5798,32.62,1
2026-05-01T22:57:22,62370,51408,10962,4.6892,0,51408,20780.0385,17127.7893,3652.2492,10.6239,10.6504,2.5009,4626,4702,0.1799,6237,0.3374,0.9661,6237,0,1.48,3,0,59899904,24.2,541.42,0.4867,-26.7321,0.8529,6237,29.86,1
2026-05-01T22:57:25,56260,49021,7239,6.7709,3,49021,18731.7135,16321.4953,2410.2182,11.0429,11.0733,1.8041,4427,4505,0.131,5626,0.3255,0.9666,5626,0,1.38,3,0,60583936,25.25,597.21,0.5394,-0.5692,0.6055,5626,30.14,1
2026-05-01T22:57:28,59160,50846,8314,6.115,3,50846,19709.1312,16939.3253,2769.8059,10.9498,10.9798,1.97,4500,4582,0.1422,5916,0.3018,0.9647,5916,0,1.4,6,0,63352832,24.55,683.96,0.5128,-21.9102,0.8058,5916,27.9,1
2026-05-01T22:57:31,65110,51797,13313,3.8904,0,51797,21685.3824,17251.3862,4433.9963,10.3659,10.3909,2.8531,4607,4683,0.2046,6511,0.2995,0.9631,6511,0,1.54,6,0,64278528,24.96,1195.35,0.4655,-0.151,0.4753,6511,28.19,1
2026-05-01T22:57:34,56800,50248,6552,7.6679,0,50248,18925.2205,16742.1564,2183.0642,11.2405,11.2792,1.57,4561,4663,0.1136,5680,0.2837,0.9634,5680,0,1.4,3,0,64897024,25.62,1184.22,0.5338,-0.0763,0.6483,5680,26.71,1
2026-05-01T22:57:37,63460,51358,12102,4.2434,0,51358,21145.0016,17112.5905,4032.4111,10.4949,10.521,2.6744,4611,4690,0.1922,6346,0.2685,0.9657,6346,0,1.48,3,0,65814528,24.58,1192.88,0.4766,0.0101,0.5095,6346,41.97,1
2026-05-01T22:57:40,54800,46948,7852,5.9784,0,46948,18244.3479,15630.2125,2614.1354,10.8566,10.8866,1.9844,4226,4303,0.1443,5480,0.2695,0.9617,5480,0,1.45,3,0,66441216,26.79,1065.23,0.554,-16.6496,0.7006,5480,25.7,1
2026-05-01T22:57:43,57737,49186,8537,5.7608,17,369147933,19237.4261,16388.3133,2844.4482,10.8623,10.8954,2.0818,4440,4527,0.1503,5774,0.2577,0.9685,5774,0,1.48,4,0,67145728,27.74,2841.21,0.5227,-1.5402,0.518,5774,23.56,1
2026-05-01T22:57:46,61350,49475,11875,4.166,0,49475,20442.3627,16485.5076,3956.855,10.4085,10.4366,2.7,4392,4470,0.1948,6135,0.2523,0.9629,6135,0,1.48,3,0,67981312,26.5,901.99,0.4923,-19.6242,0.621,6135,30.5,1
2026-05-01T22:57:49,57670,50400,7260,6.9412,10,184599775,19209.9048,16788.2643,2418.3095,11.0956,11.124,1.7792,4537,4614,0.1285,5767,0.2354,0.968,5767,0,1.4,5,0,68603904,25.83,1103.32,0.5247,-25.1847,0.8749,5767,23.54,1
2026-05-01T22:57:52,65540,52292,13248,3.9469,0,52292,21831.8841,17418.8722,4413.0119,10.4087,10.4342,2.8122,4653,4734,0.2016,6554,0.2409,0.9673,6554,0,1.52,3,0,69554176,24.54,896.99,0.461,0.0072,0.4421,6554,26.66,1
2026-05-01T22:57:56,58300,49644,8636,5.7478,20,369148394,19415.6565,16532.9477,2876.0482,10.9044,10.9285,2.0493,4500,4567,0.1479,5830,0.2267,0.9618,5830,0,1.43,5,0,70160384,25.16,968.42,0.52,0.0067,0.5545,5830,34.55,1
2026-05-01T22:57:59,58290,49156,9134,5.3811,0,49156,19418.1682,16375.3555,3042.8126,10.9145,10.9453,2.0251,4495,4577,0.1463,5829,0.2182,0.9626,5829,0,1.4,3,0,70840320,25.48,1096.59,0.5199,-23.8218,0.7894,5829,30.41,1
2026-05-01T22:58:02,64910,52913,11997,4.4102,0,52913,21619.4181,17623.6061,3995.812,10.5303,10.5577,2.653,4680,4763,0.1901,6491,0.2126,0.9669,6491,0,1.54,5,0,71733248,24.38,959.44,0.4665,-26.023,0.6592,6491,32.01,1
2026-05-01T22:58:05,53980,48813,5167,9.4452,0,48813,17978.1697,16257.2879,1720.8819,11.3011,11.335,1.397,4390,4477,0.1015,5398,0.1991,0.9629,5398,0,1.34,3,0,72335360,25.94,578.93,0.5615,-12.9846,0.7163,5398,30.46,1
2026-05-01T22:58:08,66240,53431,12809,4.171,0,53431,22070.6897,17802.8234,4267.8663,10.5915,10.6242,2.6195,4810,4912,0.1873,6624,0.1836,0.9657,6624,0,1.57,5,0,73187328,24.39,987.33,0.4567,-0.1535,0.4616,6624,33.26,1
